Time (s),Mass (kg),,Pull force (kg)
7.216414213,65.7241,,-1.89665
7.228732109,65.8657,,-2.03825
7.244912148,66.1115,,-2.28405
7.258008957,66.42,,-2.59255
7.269572973,66.7155,,-2.88805
7.281851053,66.8861,,-3.05865
7.294258118,66.8101,,-2.98265
7.306554079,66.809,,-2.98155
7.318850994,66.8719,,-3.04445
7.331220865,67.0253,,-3.19785
7.343493938,67.155,,-3.32755
7.35961318,67.1573,,-3.32985
7.372442007,67.0535,,-3.22605
7.384306192,66.8975,,-3.07005
7.396565914,66.6741,,-2.84665
7.408927917,66.4598,,-2.63235
7.421315908,66.3271,,-2.49965
7.433395147,66.2152,,-2.38775
7.445778131,65.7828,,-1.95535
7.458270788,65.6095,,-1.78205
7.474366903,65.4911,,-1.66365
7.486643791,65.48,,-1.65255
7.498910904,65.5298,,-1.70235
7.511425972,65.6541,,-1.82665
7.524597883,65.7527,,-1.92525
7.535820961,65.7141,,-1.88665
7.548085928,65.6366,,-1.80915
7.560685873,65.6149,,-1.78745
7.572901964,65.6276,,-1.80015
7.585093975,65.6754,,-1.84795
7.602270126,65.8871,,-2.05965
7.613632917,66.221,,-2.39355
7.626595974,66.7927,,-2.96525
7.638502121,66.8295,,-3.00205
7.650510073,66.7703,,-2.94285
7.662834167,66.875,,-3.04755
7.675285816,67.1803,,-3.35285
7.687553883,67.6341,,-3.80665
7.699777842,68.1907,,-4.36325
7.715967894,68.6049,,-4.77745
7.729413033,68.7334,,-4.90595
7.741328955,68.5405,,-4.71305
7.753310919,68.1478,,-4.32035
7.765250921,67.781,,-3.95355
7.777997017,67.578,,-3.75055
7.789874077,68.025,,-4.19755
7.802410841,68.4986,,-4.67115
7.814507008,69.199,,-5.37155
7.830695152,70.0113,,-6.18385
7.843034029,70.7238,,-6.89635
7.855536938,71.5172,,-7.68975
7.867626905,72.352,,-8.52455
7.880177975,73.1538,,-9.32635
7.892200947,73.7513,,-9.92385
7.904616833,74.1257,,-10.29825
7.916759968,74.2557,,-10.42825
7.929126978,74.1794,,-10.35195
7.945282936,74.0281,,-10.20065
7.958092928,73.8405,,-10.01305
7.969969988,73.4494,,-9.62195
7.98218894,73.0812,,-9.25375
7.994843006,72.477,,-8.64955
8.00780201,71.7949,,-7.96745
8.019188881,70.9698,,-7.14235
8.031399012,70.1277,,-6.30025
8.043704033,69.4477,,-5.62025
8.060278893,68.879,,-5.05155
8.072424173,68.3037,,-4.47625
8.084627151,67.5757,,-3.74825
8.096899986,66.6794,,-2.85195
8.109490156,65.7559,,-1.92845
8.121670961,64.9878,,-1.16035
8.133812904,64.1572,,-0.32975
8.14627099,63.7572,,0.07025
8.15854311,63.4341,,0.39335
8.175049782,63.1375,,0.68995
8.187011957,62.9249,,0.90255
8.199431181,62.8535,,0.97395
8.211601973,62.9125,,0.91495
8.224232912,63.0077,,0.81975
8.236291885,63.0355,,0.79195
8.248611927,62.917,,0.91045
8.260851145,62.9205,,0.90695
8.273176908,63.1105,,0.71695
8.285361052,63.0275,,0.79995
8.301640034,62.4469,,1.38055
8.313932896,62.2589,,1.56855
8.326284885,62.163,,1.66445
8.338819981,62.004,,1.82345
8.350927114,61.7415,,2.08595
8.363215923,61.4535,,2.37395
8.37580204,61.1632,,2.66425
8.387837172,60.8395,,2.98795
8.400064945,60.6564,,3.17105
8.416349173,60.7,,3.12745
8.42867589,60.9586,,2.86885
8.444879055,61.3318,,2.49565
8.454076052,61.6348,,2.19265
8.465609789,61.7772,,2.05025
8.478110075,61.7721,,2.05535
8.490291834,61.7466,,2.08085
8.502494097,61.8752,,1.95225
8.514731884,62.1705,,1.65695
8.531027794,62.5859,,1.24155
8.543334961,62.9536,,0.87385
8.555695057,63.2283,,0.59915
8.567908049,63.5493,,0.27815
8.580254793,63.9771,,-0.14965
8.59264183,64.3548,,-0.52735
8.605310202,64.7072,,-0.87975
