Time (s),Mass (kg),,Pull force (kg)
11.81768227,79.1978,,-12.351137
11.82996511,83.1905,,-16.343837
11.84285688,85.5969,,-18.750237
11.85851693,86.6914,,-19.844737
11.87089705,86.6871,,-19.840437
11.88313508,85.6589,,-18.812237
11.89553499,84.0376,,-17.190937
11.90798306,79.8763,,-13.029637
11.92012119,77.5724,,-10.725737
11.93703294,75.4075,,-8.560837
11.94988894,73.8823,,-7.035637
11.96372199,72.839,,-5.992337
11.97367406,71.4804,,-4.633737
11.98570704,69.3931,,-2.546437
12.0019052,66.951,,-0.104337
12.015769,65.0265,,1.820163
12.02700686,64.1045,,2.742163
12.03877616,63.8461,,3.000563
12.051162,63.4109,,3.435763
12.06336403,62.7,,4.146663
12.07969904,62.049,,4.797663
12.09269094,61.5326,,5.314063
12.10429788,61.1123,,5.734363
12.11664605,61.0369,,5.809763
12.12887287,61.117,,5.729663
12.14159608,61.1576,,5.689063
12.15756798,61.2324,,5.614263
12.16984606,60.9451,,5.901563
12.18559623,60.851,,5.995663
12.19997525,61.2099,,5.636763
12.21318102,61.9729,,4.873763
