Time (s),Mass (kg),Average mass (kg),Pull force (kg)
6.26423192,0.0242,,65.8688
6.276342869,0.0278,,65.8652
6.288660049,0.0119,,65.8811
6.301141977,0.0081,,65.8849
6.313312054,0.0197,,65.8733
6.32555604,0.0075,,65.8855
6.341674089,0.0205,,65.8725
6.353974819,0.0131,,65.8799
6.366268873,0.0264,,65.8666
6.37910676,0.0064,,65.8866
6.390914917,0.0037,,65.8893
6.403420925,0.0137,,65.8793
6.415542841,0.033,,65.86
6.427896738,0.0133,,65.8797
6.440063,0.0051,,65.8879
6.452802896,0.0019,,65.8911
6.464623928,0.0245,,65.8685
6.47711587,0.014,,65.879
6.489295959,0.0112,,65.8818
6.501565933,0.039,,65.854
6.513952732,0.0333,,65.8597
6.526762009,0.0235,,65.8695
6.538484097,0.0119,,65.8811
6.550758839,0.0034,,65.8896
6.563133001,0.0061,,65.8869
6.575217962,0.0104,,65.8826
6.587757826,0.0207,,65.8723
6.599987984,0.0207,,65.8723
6.616139889,0.0151,,65.8779
6.628381968,0.003,,65.89
6.640712976,0.0058,,65.8872
6.652995825,0.0025,,65.8905
6.665395021,0.0076,,65.8854
6.677577972,0.0147,,65.8783
6.690337896,0.0012,,65.8918
6.702251673,0.0125,,65.8805
6.714486122,0.0006,,65.8924
6.726852894,0.0248,,65.8682
6.739095926,0.0239,,65.8691
6.751502752,0.0099,,65.8831
6.763786077,0.0004,,65.8926
6.775957108,0.0015,,65.8915
6.788334846,0.006,,65.887
6.800666809,0.0037,,65.8893
6.8128438,0.0109,,65.8821
6.82505393,0.0061,,65.8869
6.838006735,0.0031,,65.8899
6.84965682,0.0221,,65.8709
6.862148762,0.0152,,65.8778
6.874228001,0.0202,,65.8728
6.890519857,0.0271,,65.8659
6.903030872,0.0054,,65.8876
6.915168762,0.0019,,65.8911
6.927425146,0.0117,,65.8813
6.939705849,0.0367,,65.8563
6.952626944,0.0434,,65.8496
6.964309931,0.0405,,65.8525
6.976805925,0.0265,,65.8665
6.988991022,0.0036,,65.8894
7.001208782,0.0038,,65.8892
7.013432741,0.0014,,65.8916
7.025762796,0.0135,,65.8795
7.038105965,0.0248,,65.8682
7.050385952,0.0149,,65.8781
7.062788963,0.0095,,65.8835
7.074977875,0.0065,,65.8865
7.087267876,0.0172,,65.8758
7.099464893,0.0212,,65.8718
7.111854792,0.004,,65.889
7.124213934,0.0105,,65.8825
7.136515856,0.0166,,65.8764
7.148693085,0.002,,65.891
7.164903879,0.0003,,65.8927
7.177271843,0.0336,,65.8594
7.189538717,0.0241,,65.8689
7.20198679,0.0046,,65.8884
7.214164972,0.0066,,65.8864
7.226437807,0.014,,65.879
7.238857985,0.0189,,65.8741
7.251076937,0.0158,,65.8772
7.263267756,0.0089,,65.8841
7.27565074,0.0143,,65.8787
7.287988901,0.0081,,65.8849
7.300190926,0.0047,,65.8883
7.312534094,0.0077,,65.8853
7.324821949,0.0178,,65.8752
7.337435007,0.011,,65.882
7.349383831,0.0006,,65.8924
7.361748934,0.0239,,65.8691
7.374008894,0.0181,,65.8749
7.386338711,0.0045,,65.8885
7.398487806,0.0139,,65.8791
7.411113024,0.0151,,65.8779
7.423361778,0.0147,,65.8783
7.439344883,0.0294,,65.8636
7.451786995,0.0072,,65.8858
7.464034796,0.0122,,65.8808
7.476407766,0.0018,,65.8912
7.488553047,0.0027,,65.8903
7.500895977,0.0225,,65.8705
7.513110876,0.016,,65.877
7.525429964,0.014,,65.879
7.537795782,0.0085,,65.8845
7.55011797,0.0021,,65.8909
7.562347889,0.0148,,65.8782
7.574718952,0.0171,,65.8759
7.587883711,0.0127,,65.8803
7.599192858,0.0045,,65.8885
7.611792803,0.0013,,65.8917
7.623827934,0.0198,,65.8732
7.636512756,0.0175,,65.8755
7.648345947,0.0022,,65.8908
7.660697937,0.0074,,65.8856
7.673304796,0.0127,,65.8803
7.685542822,0.0075,,65.8855
7.697557926,0.0038,,65.8892
7.713736057,0.0399,,65.8531
7.726069927,0.0462,,65.8468
7.738374949,0.0098,,65.8832
7.750716925,0.001,,65.892
7.763009071,0.0127,,65.8803
7.775255919,0.0182,,65.8748
