Time (s),Mass (kg),Average weight,Pull force (kg)
4.956945896,0.0035,,80.1165
4.968106985,0.0098,,80.1102
4.980411053,0.011,,80.109
4.992748976,0.0292,,80.0908
5.005125999,0.0221,,80.0979
5.021541119,0.0008,,80.1192
5.036436796,0.0012,,80.1188
5.042214155,0.0111,,80.1089
5.076073885,0.0123,,80.1077
5.077194929,0.0082,,80.1118
5.079504013,0.0122,,80.1078
5.092154026,0.0109,,80.1091
5.103697777,0.0193,,80.1007
5.116309881,0.0185,,80.1015
5.127866983,0.0179,,80.1021
5.142966032,0.0055,,80.1145
5.159950018,0.0103,,80.1097
5.172187805,0.0005,,80.1195
5.177290916,0.0119,,80.1081
5.189467907,0.0008,,80.1192
5.201906919,0.018,,80.102
5.214036942,0.0174,,80.1026
5.230256081,0.0074,,80.1126
5.242487907,0.0047,,80.1153
5.255491972,0.0035,,80.1165
5.267659903,0.0058,,80.1142
5.279462099,0.011,,80.109
5.291662931,0.016,,80.104
5.304054976,0.0197,,80.1003
5.316317797,0.0002,,80.1198
5.328584909,0.0232,,80.0968
5.340904951,0.0263,,80.0937
5.35361886,0.0015,,80.1185
5.365494013,0.0116,,80.1084
5.378013849,0.0272,,80.0928
5.390012741,0.0039,,80.1161
5.40308404,0.0009,,80.1191
5.41472888,0.0124,,80.1076
5.427217722,0.0194,,80.1006
5.439209938,0.0036,,80.1164
5.451643705,0.019,,80.101
5.463828802,0.0112,,80.1088
5.476481915,0.0006,,80.1194
5.488595963,0.0122,,80.1078
5.504598856,0.02,,80.1
5.568362951,0.0099,,80.1101
5.569896936,0.0001,,80.1199
5.573290825,0.0105,,80.1095
5.585275888,0.0078,,80.1122
5.586708784,0.0005,,80.1195
5.589426756,10.7682,,69.3518
5.591624975,0.013,,80.107
5.605340719,0.005,,80.115
5.615448952,0.0189,,80.1011
5.627611876,0.0119,,80.1081
5.641403913,0.0096,,80.1104
5.652326822,0.0008,,80.1192
5.664546013,0.0267,,80.0933
5.677480936,0.0059,,80.1141
5.689282894,0.033,,80.087
5.701351881,0.02,,80.1
5.714180946,0.0049,,80.1151
5.726131916,0.0035,,80.1165
5.742182732,0.01,,80.11
5.754453897,0.0164,,80.1036
5.766872883,0.0012,,80.1188
5.779680014,0.009,,80.111
5.791390896,0.0005,,80.1195
5.803781986,0.0043,,80.1157
5.815988779,0.021,,80.099
5.828346968,0.0026,,80.1174
5.840587854,0.0084,,80.1116
5.853022814,0.0158,,80.1042
5.865307093,0.0028,,80.1172
5.877660751,0.0067,,80.1133
5.890244007,0.002,,80.118
5.915215969,0.0118,,80.1082
5.923959017,0.0129,,80.1071
5.927643061,0.0081,,80.1119
5.940206051,0.0026,,80.1174
5.951596022,0.0007,,80.1193
5.965575933,0.0098,,80.1102
5.977961779,0.0192,,80.1008
5.988125801,0.0211,,80.0989
6.004340887,0.0085,,80.1115
6.016658783,0.019,,80.101
6.028862953,0.0039,,80.1161
6.041200876,0.0013,,80.1187
6.054207802,0.02,,80.1
6.06576395,0.013,,80.107
6.078333855,0.009,,80.111
6.090490103,0.0223,,80.0977
6.102680922,0.0144,,80.1056
6.114976883,0.003,,80.117
6.127321959,0.0084,,80.1116
6.140658855,0.0157,,80.1043
6.152381897,0.0057,,80.1143
6.171499014,0.0052,,80.1148
6.177512884,0.0078,,80.1122
6.189163923,0.0123,,80.1077
6.201201916,0.0185,,80.1015
6.213366032,0.0066,,80.1134
6.225724936,0.0036,,80.1164
6.238036871,0.0097,,80.1103
6.250231981,0.0183,,80.1017
6.263798952,0.0137,,80.1063
6.278675795,0.004,,80.116
6.291006804,0.0063,,80.1137
6.303280115,0.0038,,80.1162
6.315750837,0.0048,,80.1152
6.327856779,0.0009,,80.1191
6.340228081,0.0098,,80.1102
6.352487803,0.0211,,80.0989
6.364797831,0.0121,,80.1079
6.377034903,0.0165,,80.1035
6.39061594,0.0243,,80.0957
6.409885883,0.0225,,80.0975
6.417840719,0.0022,,80.1178
6.426375866,0.0003,,80.1197
6.439401865,0.0063,,80.1137
6.450964928,0.0147,,80.1053
6.463181019,0.0314,,80.0886
6.475564957,0.0205,,80.0995
6.488077879,0.0172,,80.1028
6.500155687,0.0125,,80.1075
6.512391806,0.0213,,80.0987
6.524643898,0.0192,,80.1008
6.537029028,0.0099,,80.1101
6.553108931,0.0028,,80.1172
6.565720081,0.01,,80.11
6.577702761,0.0044,,80.1156
6.590051889,0.003,,80.117
6.602612972,0.0019,,80.1181
6.614634991,0.0055,,80.1145
6.626928091,0.0082,,80.1118
6.639235973,0,,80.12
6.651507854,0.0023,,80.1177
6.663924932,0.0001,,80.1199
6.676120996,0.0095,,80.1105
6.688489914,0.0272,,80.0928
6.700907946,0.0093,,80.1107
6.712925911,0.0109,,80.1091
6.725347042,0.0153,,80.1047
6.737658978,0.0132,,80.1068
6.749989033,0.0117,,80.1083
6.76258707,0.012,,80.108
6.776031971,0.0022,,80.1178
6.787039995,0.0062,,80.1138
6.799241781,0.0129,,80.1071
6.811342955,0.0006,,80.1194
6.827630997,0.0018,,80.1182
6.839927912,0.0138,,80.1062
6.852118015,0.019,,80.101
6.864455938,0.0033,,80.1167
6.876893759,0.0179,,80.1021
6.889236927,0.0363,,80.0837
6.901335001,0.0105,,80.1095
6.913653851,0.0007,,80.1193
6.926028013,0.0125,,80.1075
6.938248873,0.0017,,80.1183
6.950503826,0.007,,80.113
6.962817907,0.0146,,80.1054
6.975141048,0.0245,,80.0955
6.987387896,0.0325,,80.0875
6.999757051,0.0019,,80.1181
7.020725012,0.0041,,80.1159
7.028798819,0.0212,,80.0988
7.039983034,0.0115,,80.1085
7.060853004,0.0105,,80.1095
7.06239295,0.0032,,80.1168
7.073980808,0.0024,,80.1176
7.085809708,0.0184,,80.1016
7.102189064,0.0125,,80.1075
7.114332914,0.0233,,80.0967
7.126663923,0.0073,,80.1127
7.144939899,0.0087,,80.1113
7.151535988,0.0116,,80.1084
7.163488865,0.0192,,80.1008
7.177236795,0.0025,,80.1175
7.188049793,0.0046,,80.1154
7.200444937,0.0189,,80.1011
7.212687969,0.0295,,80.0905
7.224944115,0.0067,,80.1133
7.237351894,0.005,,80.115
7.249579906,0.0214,,80.0986
7.266474962,0.0207,,80.0993
7.274286032,0.0156,,80.1044
7.293278933,0.019,,80.101
7.306269884,0.0242,,80.0958
7.312949896,0.0193,,80.1007
7.324393988,0.0152,,80.1048
7.337371826,0.0002,,80.1198
7.34795475,0.0082,,80.1118
7.361208916,0.0059,,80.1141
7.379010916,0.0029,,80.1171
7.390438795,0.0137,,80.1063
7.401341915,0.0167,,80.1033
7.413276911,0.0046,,80.1154
7.425786972,0.0121,,80.1079
7.437949896,0.0272,,80.0928
7.450500965,0.0038,,80.1162
7.46239996,0.0072,,80.1128
7.479763985,0.005,,80.115
7.487084866,0.0031,,80.1169
7.500604868,0.0037,,80.1163
7.51177907,0.0432,,80.0768
7.52402997,0.036,,80.084
7.536275864,0.0092,,80.1108
7.54910779,0.0023,,80.1177
7.56078577,0.0185,,80.1015
7.573414803,0.0029,,80.1171
7.58533287,0.001,,80.119
7.598322868,0.0201,,80.0999
7.610040903,0.0113,,80.1087
7.6223979,0.0015,,80.1185
7.634878874,0.0176,,80.1024
7.651160955,0.003,,80.117
7.663216114,0.0121,,80.1079
7.677789927,0.0126,,80.1074
7.689024925,0.0025,,80.1175
7.705430984,0.0035,,80.1165
7.713689089,0.0134,,80.1066
7.727519989,0.0101,,80.1099
7.737660885,0.0095,,80.1105
7.749202728,0.0047,,80.1153
7.762351036,0.0021,,80.1179
7.774211884,0.0167,,80.1033
7.787219763,0.0011,,80.1189
7.7986269,0.0063,,80.1137
7.811495781,0.0079,,80.1121
7.823282957,0.0107,,80.1093
7.836097002,0.0064,,80.1136
7.847692013,0.0023,,80.1177
7.860275984,0.0167,,80.1033
7.872411728,0.0134,,80.1066
